ACCESSION_NUMBER	ID	ISEDGARFILER	COISSUERCIK	NAMEOFCOISSUER	LEGALSTATUSFORM	LEGALSTATUSOTHERDESC	JURISDICTIONORGANIZATION	DATEINCORPORATION	STREET1	STREET2	CITY	STATEORCOUNTRY	ZIPCODE	COISSUERWEBSITE
0001670254-22-001209	1			BlissDivorce I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	01-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001209	2			BlissDivorce I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	01-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001644600-22-000140	1			HyperKellp CF SPV, LLC	Limited Liability Company		DE	04-AUG-2022	1084 N EL CAMINO REAL	STE B173	Encinitas	CA	92024	www.hyperkelp.com
0001670254-22-001208	1			Pureboost I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	05-AUG-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001208	2			Pureboost I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	05-AUG-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001206	1			Elixir Kombucha I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	21-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001683168-22-007907	1			Heroic CF SPV, LLC	Limited Liability Company		DE	21-APR-2022	9901 Brodie Lane	Suite 160 #1388	Austin	TX	78748	www.heroic.us
0001670254-22-001204	1			Cirq I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	16-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001204	2			Cirq I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	16-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001202	1			Kitsbow Apparel I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	16-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
